C05001140229|AD7S02-SHALIMAR GANDHI STORE|I|19,HARI NAGAR ASHRAM|ASHRAM|110014|0|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140230|AD7S10-SUNIL PAN BANDAR|I|101-C , HARI NAGAR ASHRAM||110014|-26348800|||IND|DL|DELHI|DELHI|EATING AND DRINKING|RETL||DELHI COBO||MT|Y
C05001140232|AD7H02 HIMANSHI STORE|I|||||||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140233|AD7G06 GUPTA STORE|I|313,HR.NGR. ASHRAM|ASHRAM|110014|-26349259|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140234|AD7V03-VIJAY STORE|I|152/6,HARI NAGAR ASHRAM|ASHRAM|110014|-26343948|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140236|AD2S15-SAM COMMUNICATION|I|SH.NO9 BIRBAL ROAD|HOSPITAL ROAD|110014|-41823830|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140239|AD7J05-JAI MATA STORE|I|148-A,HARI NAGAR ASHRAM|ASHRAM|110014|-9871135245|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140240|AD7P05-PARKASH STORE|I|2/7 B, JANAGPURA B||110014|-24315378|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140241|AD8C01-CHANDRU|I|B-79,JANGPURA B|JANGPURA-B|110014|-24374246|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140242|AD8K01-KAMLESH GEN STORE|I|A-1SIDDHARTH NAGAR|SIDDHARTHA BASTI|110014|-26341650|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140243|AD8K04-KARAN STORE|I|C-43 B JANGPURA B|JANGPURA-B|110014|-24374571|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140244|AD8K06-KRISHNA GEN STORE|I|2/7-A,JUNGPURA B|JANGPURA-B|110014|-69516263|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140245|AD8N01-NARANG STORE|I|A-101 JANGPURA B|JANGPURA-B|110014|-24371884|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140246|AD8P01-PANKAJ STORE|I|64,-B SIDDHARTHA NAGAR|SIDDHARTHA BASTI|110014|-24345218|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140248|AD8S06-SUBHAM STORE|I|||110014|-|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140249|AD8U01-UMESH STORE|I|14-A SIDDHARTH NAGAR|SIDDHARTHA BASTI|110014|-26349912|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
